******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : *hauawc

word : ha anchor( col :  7 row : 7 ) score : 10 new tiles : ha    Heuristic : 1.5
word : aha anchor( col :  7 row : 7 ) score : 12 new tiles : aha    Heuristic : 7.5
word : wha anchor( col :  7 row : 7 ) score : 18 new tiles : wha    Heuristic : 11.5
word : cha anchor( col :  7 row : 7 ) score : 16 new tiles : cha    Heuristic : 6
word : chaw anchor( col :  7 row : 7 ) score : 24 new tiles : chaw    Heuristic : 16
word : haw anchor( col :  7 row : 7 ) score : 18 new tiles : haw    Heuristic : 11.5
word : aa anchor( col :  7 row : 7 ) score : 4 new tiles : aa    Heuristic : 0
word : waac anchor( col :  7 row : 7 ) score : 18 new tiles : waac    Heuristic : 16.5
word : caa anchor( col :  7 row : 7 ) score : 10 new tiles : caa    Heuristic : 6.5
word : aah anchor( col :  7 row : 7 ) score : 12 new tiles : aah    Heuristic : 7.5
word : aua anchor( col :  7 row : 7 ) score : 6 new tiles : aua    Heuristic : 3
word : awa anchor( col :  7 row : 7 ) score : 12 new tiles : awa    Heuristic : 12
word : waac anchor( col :  7 row : 7 ) score : 18 new tiles : waac    Heuristic : 16.5
word : caa anchor( col :  7 row : 7 ) score : 10 new tiles : caa    Heuristic : 6.5
word : caw anchor( col :  7 row : 7 ) score : 16 new tiles : caw    Heuristic : 10.5
word : ah anchor( col :  7 row : 7 ) score : 10 new tiles : ah    Heuristic : 1.5
word : aha anchor( col :  7 row : 7 ) score : 12 new tiles : aha    Heuristic : 7.5
word : aa anchor( col :  7 row : 7 ) score : 4 new tiles : aa    Heuristic : 0
word : aah anchor( col :  7 row : 7 ) score : 12 new tiles : aah    Heuristic : 7.5
word : aua anchor( col :  7 row : 7 ) score : 6 new tiles : aua    Heuristic : 3
word : aw anchor( col :  7 row : 7 ) score : 10 new tiles : aw    Heuristic : 6
word : awa anchor( col :  7 row : 7 ) score : 12 new tiles : awa    Heuristic : 12
word : ach anchor( col :  7 row : 7 ) score : 16 new tiles : ach    Heuristic : 6
word : ab anchor( col :  7 row : 7 ) score : 2 new tiles : ab    Heuristic : -2
word : habu anchor( col :  7 row : 7 ) score : 12 new tiles : habu    Heuristic : 9.5
word : wab anchor( col :  7 row : 7 ) score : 10 new tiles : wab    Heuristic : 10
word : cab anchor( col :  7 row : 7 ) score : 8 new tiles : cab    Heuristic : 4.5
word : caba anchor( col :  7 row : 7 ) score : 10 new tiles : caba    Heuristic : 4.5
word : aba anchor( col :  7 row : 7 ) score : 4 new tiles : aba    Heuristic : -3
word : abac anchor( col :  7 row : 7 ) score : 10 new tiles : abac    Heuristic : 4.5
word : hub anchor( col :  7 row : 7 ) score : 10 new tiles : hub    Heuristic : 5.5
word : chub anchor( col :  7 row : 7 ) score : 16 new tiles : chub    Heuristic : 10
word : cub anchor( col :  7 row : 7 ) score : 8 new tiles : cub    Heuristic : 4.5
word : ba anchor( col :  7 row : 7 ) score : 2 new tiles : ba    Heuristic : -2
