******HUMAN TURN******

******HUMAN RESULT******
RACK : AXQDRZK

HUMAN MOVE : ad , new tiles : ad , score : 6 , direction : 2 , col : 7 , row : 8


******COMPUTER TURN******
RACK : btocge*

word : outbeg anchor( col :  7 row : 5 ) score : 18 new tiles : outbeg    Heuristic : 17.5
word : ob anchor( col :  7 row : 5 ) score : 10 new tiles : ob    Heuristic : 36
word : ab anchor( col :  7 row : 5 ) score : 9 new tiles : ab    Heuristic : 11
word : ob anchor( col :  7 row : 5 ) score : 10 new tiles : ob    Heuristic : 12
word : bo anchor( col :  7 row : 5 ) score : 10 new tiles : bo    Heuristic : 36
word : be anchor( col :  7 row : 5 ) score : 10 new tiles : be    Heuristic : 30.5
word : ba anchor( col :  7 row : 5 ) score : 9 new tiles : ba    Heuristic : 11
word : be anchor( col :  7 row : 5 ) score : 10 new tiles : be    Heuristic : 12
word : bi anchor( col :  7 row : 5 ) score : 9 new tiles : bi    Heuristic : 11
word : bo anchor( col :  7 row : 5 ) score : 10 new tiles : bo    Heuristic : 12
word : by anchor( col :  7 row : 5 ) score : 9 new tiles : by    Heuristic : 11
word : bad anchor( col :  7 row : 5 ) score : 6 new tiles : b    Heuristic : 32.5
word : tad anchor( col :  7 row : 5 ) score : 4 new tiles : t    Heuristic : 27
word : cad anchor( col :  7 row : 5 ) score : 6 new tiles : c    Heuristic : 29.5
word : gad anchor( col :  7 row : 5 ) score : 5 new tiles : g    Heuristic : 30
word : bad anchor( col :  7 row : 5 ) score : 6 new tiles : b    Heuristic : 3.5
word : cad anchor( col :  7 row : 5 ) score : 6 new tiles : c    Heuristic : 3.5
word : dad anchor( col :  7 row : 5 ) score : 3 new tiles : d    Heuristic : 0.5
word : fad anchor( col :  7 row : 5 ) score : 3 new tiles : f    Heuristic : 0.5
word : gad anchor( col :  7 row : 5 ) score : 5 new tiles : g    Heuristic : 2.5
word : had anchor( col :  7 row : 5 ) score : 3 new tiles : h    Heuristic : 0.5
word : lad anchor( col :  7 row : 5 ) score : 3 new tiles : l    Heuristic : 0.5
word : mad anchor( col :  7 row : 5 ) score : 3 new tiles : m    Heuristic : 0.5
word : pad anchor( col :  7 row : 5 ) score : 3 new tiles : p    Heuristic : 0.5
word : rad anchor( col :  7 row : 5 ) score : 3 new tiles : r    Heuristic : 0.5
word : sad anchor( col :  7 row : 5 ) score : 3 new tiles : s    Heuristic : 0.5
word : tad anchor( col :  7 row : 5 ) score : 4 new tiles : t    Heuristic : 1.5
word : wad anchor( col :  7 row : 5 ) score : 3 new tiles : w    Heuristic : 0.5
word : yad anchor( col :  7 row : 5 ) score : 3 new tiles : y    Heuristic : 0.5
word : ba anchor( col :  6 row : 6 ) score : 7 new tiles : b    Heuristic : 33.5
word : ta anchor( col :  6 row : 6 ) score : 3 new tiles : t    Heuristic : 26
word : ea anchor( col :  6 row : 6 ) score : 3 new tiles : e    Heuristic : 19
word : aa anchor( col :  6 row : 6 ) score : 1 new tiles : a    Heuristic : -1.5
word : ba anchor( col :  6 row : 6 ) score : 7 new tiles : b    Heuristic : 4.5
word : da anchor( col :  6 row : 6 ) score : 1 new tiles : d    Heuristic : -1.5
word : ea anchor( col :  6 row : 6 ) score : 3 new tiles : e    Heuristic : 0.5
word : fa anchor( col :  6 row : 6 ) score : 1 new tiles : f    Heuristic : -1.5
word : ha anchor( col :  6 row : 6 ) score : 1 new tiles : h    Heuristic : -1.5
word : ja anchor( col :  6 row : 6 ) score : 1 new tiles : j    Heuristic : -1.5
word : ka anchor( col :  6 row : 6 ) score : 1 new tiles : k    Heuristic : -1.5
word : la anchor( col :  6 row : 6 ) score : 1 new tiles : l    Heuristic : -1.5
word : ma anchor( col :  6 row : 6 ) score : 1 new tiles : m    Heuristic : -1.5
word : na anchor( col :  6 row : 6 ) score : 1 new tiles : n    Heuristic : -1.5
word : pa anchor( col :  6 row : 6 ) score : 1 new tiles : p    Heuristic : -1.5
word : ta anchor( col :  6 row : 6 ) score : 3 new tiles : t    Heuristic : 0.5
word : ya anchor( col :  6 row : 6 ) score : 1 new tiles : y    Heuristic : -1.5
word : za anchor( col :  6 row : 6 ) score : 1 new tiles : z    Heuristic : -1.5
word : ab anchor( col :  8 row : 6 ) score : 7 new tiles : b    Heuristic : 33.5
word : at anchor( col :  8 row : 6 ) score : 3 new tiles : t    Heuristic : 26
word : ag anchor( col :  8 row : 6 ) score : 5 new tiles : g    Heuristic : 30
word : ae anchor( col :  8 row : 6 ) score : 3 new tiles : e    Heuristic : 19
word : aa anchor( col :  8 row : 6 ) score : 1 new tiles : a    Heuristic : -1.5
word : ab anchor( col :  8 row : 6 ) score : 7 new tiles : b    Heuristic : 4.5
word : ad anchor( col :  8 row : 6 ) score : 1 new tiles : d    Heuristic : -1.5
word : ae anchor( col :  8 row : 6 ) score : 3 new tiles : e    Heuristic : 0.5
word : ag anchor( col :  8 row : 6 ) score : 5 new tiles : g    Heuristic : 2.5
word : ah anchor( col :  8 row : 6 ) score : 1 new tiles : h    Heuristic : -1.5
word : ai anchor( col :  8 row : 6 ) score : 1 new tiles : i    Heuristic : -1.5
word : al anchor( col :  8 row : 6 ) score : 1 new tiles : l    Heuristic : -1.5
word : am anchor( col :  8 row : 6 ) score : 1 new tiles : m    Heuristic : -1.5
word : an anchor( col :  8 row : 6 ) score : 1 new tiles : n    Heuristic : -1.5
word : ar anchor( col :  8 row : 6 ) score : 1 new tiles : r    Heuristic : -1.5
word : as anchor( col :  8 row : 6 ) score : 1 new tiles : s    Heuristic : -1.5
word : at anchor( col :  8 row : 6 ) score : 3 new tiles : t    Heuristic : 0.5
word : aw anchor( col :  8 row : 6 ) score : 1 new tiles : w    Heuristic : -1.5
word : ax anchor( col :  8 row : 6 ) score : 1 new tiles : x    Heuristic : -1.5
word : ay anchor( col :  8 row : 6 ) score : 1 new tiles : y    Heuristic : -1.5
word : od anchor( col :  6 row : 7 ) score : 3 new tiles : o    Heuristic : 24.5
word : ed anchor( col :  6 row : 7 ) score : 3 new tiles : e    Heuristic : 19
word : ad anchor( col :  6 row : 7 ) score : 2 new tiles : a    Heuristic : -0.5
word : ed anchor( col :  6 row : 7 ) score : 3 new tiles : e    Heuristic : 0.5
word : id anchor( col :  6 row : 7 ) score : 2 new tiles : i    Heuristic : -0.5
word : od anchor( col :  6 row : 7 ) score : 3 new tiles : o    Heuristic : 0.5
word : do anchor( col :  8 row : 7 ) score : 3 new tiles : o    Heuristic : 24.5
word : de anchor( col :  8 row : 7 ) score : 3 new tiles : e    Heuristic : 19
word : da anchor( col :  8 row : 7 ) score : 2 new tiles : a    Heuristic : -0.5
word : de anchor( col :  8 row : 7 ) score : 3 new tiles : e    Heuristic : 0.5
word : di anchor( col :  8 row : 7 ) score : 2 new tiles : i    Heuristic : -0.5
word : do anchor( col :  8 row : 7 ) score : 3 new tiles : o    Heuristic : 0.5
word : ado anchor( col :  7 row : 8 ) score : 4 new tiles : o    Heuristic : 25.5
word : add anchor( col :  7 row : 8 ) score : 3 new tiles : d    Heuristic : 0.5
word : ado anchor( col :  7 row : 8 ) score : 4 new tiles : o    Heuristic : 1.5
word : ads anchor( col :  7 row : 8 ) score : 3 new tiles : s    Heuristic : 0.5
word : adz anchor( col :  7 row : 8 ) score : 3 new tiles : z    Heuristic : 0.5
word : na anchor( col :  6 row : 6 ) score : 3 new tiles : n    Heuristic : -14
word : nan anchor( col :  6 row : 6 ) score : 8 new tiles : nn    Heuristic : -5.5
word : an anchor( col :  8 row : 6 ) score : 6 new tiles : n    Heuristic : -11
word : ne anchor( col :  8 row : 6 ) score : 6 new tiles : n    Heuristic : -11
word : den anchor( col :  9 row : 7 ) score : 4 new tiles : n    Heuristic : -13
word : en anchor( col :  8 row : 8 ) score : 3 new tiles : n    Heuristic : -14
word : on anchor( col :  6 row : 5 ) score : 2 new tiles : o    Heuristic : 23.5
word : bon anchor( col :  6 row : 5 ) score : 5 new tiles : bo    Heuristic : 31
word : ebon anchor( col :  6 row : 5 ) score : 6 new tiles : ebo    Heuristic : 26
word : ebon anchor( col :  6 row : 5 ) score : 6 new tiles : ebo    Heuristic : 7.5
word : bonie anchor( col :  6 row : 5 ) score : 10 new tiles : boie    Heuristic : 5.5
word : ton anchor( col :  6 row : 5 ) score : 3 new tiles : to    Heuristic : 25.5
word : acton anchor( col :  6 row : 5 ) score : 6 new tiles : acto    Heuristic : 5.5
word : beton anchor( col :  6 row : 5 ) score : 10 new tiles : beto    Heuristic : 31
word : beton anchor( col :  6 row : 5 ) score : 10 new tiles : beto    Heuristic : 2
word : jeton anchor( col :  6 row : 5 ) score : 4 new tiles : jeto    Heuristic : -4
word : seton anchor( col :  6 row : 5 ) score : 4 new tiles : seto    Heuristic : -4
word : con anchor( col :  6 row : 5 ) score : 5 new tiles : co    Heuristic : 28
