******HUMAN TURN******

******HUMAN RESULT******
RACK : OGGGYNK

HUMAN MOVE : go , score : 6 , direction : 1 , col : 9 , row : 7


******COMPUTER TURN******
RACK : icbbel*

word : cab anchor( col :  7 row : 6 ) score : 21 new tiles : cab    Heuristic : 22
word : cabbie anchor( col :  7 row : 6 ) score : 26 new tiles : cabbie    Heuristic : 25
word : cable anchor( col :  7 row : 6 ) score : 23 new tiles : cable    Heuristic : 20
word : ba anchor( col :  7 row : 6 ) score : 8 new tiles : ba    Heuristic : 8.5
word : ceiba anchor( col :  7 row : 6 ) score : 13 new tiles : ceiba    Heuristic : 7.5
word : babe anchor( col :  7 row : 6 ) score : 22 new tiles : babe    Heuristic : 21
word : babel anchor( col :  7 row : 6 ) score : 23 new tiles : babel    Heuristic : 23
word : bal anchor( col :  7 row : 6 ) score : 13 new tiles : bal    Heuristic : 14.5
word : bale anchor( col :  7 row : 6 ) score : 14 new tiles : bale    Heuristic : 10.5
word : lea anchor( col :  7 row : 6 ) score : 5 new tiles : lea    Heuristic : -2.5
word : ilea anchor( col :  7 row : 6 ) score : 6 new tiles : ilea    Heuristic : -3
word : la anchor( col :  7 row : 6 ) score : 4 new tiles : la    Heuristic : 2.5
word : blab anchor( col :  7 row : 6 ) score : 20 new tiles : blab    Heuristic : 23
word : lab anchor( col :  7 row : 6 ) score : 17 new tiles : lab    Heuristic : 18.5
word : abbe anchor( col :  7 row : 6 ) score : 19 new tiles : abbe    Heuristic : 18
word : able anchor( col :  7 row : 6 ) score : 17 new tiles : able    Heuristic : 13.5
word : al anchor( col :  7 row : 6 ) score : 7 new tiles : al    Heuristic : 5.5
word : alb anchor( col :  7 row : 6 ) score : 10 new tiles : alb    Heuristic : 11.5
word : ale anchor( col :  7 row : 6 ) score : 8 new tiles : ale    Heuristic : 0.5
word : alec anchor( col :  7 row : 6 ) score : 11 new tiles : alec    Heuristic : 5
word : bi anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 29.5
word : big anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 29.5
word : bigly anchor( col :  7 row : 6 ) score : 7 new tiles : bily    Heuristic : 8
word : beige anchor( col :  7 row : 6 ) score : 7 new tiles : beie    Heuristic : 0
word : beigy anchor( col :  7 row : 6 ) score : 7 new tiles : beiy    Heuristic : 0
word : oblige anchor( col :  7 row : 6 ) score : 8 new tiles : oblie    Heuristic : 3
word : liger anchor( col :  7 row : 6 ) score : 5 new tiles : lier    Heuristic : -4
word : bi anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 1
word : big anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 1
word : dig anchor( col :  7 row : 6 ) score : 3 new tiles : di    Heuristic : -2
word : fig anchor( col :  7 row : 6 ) score : 3 new tiles : fi    Heuristic : -2
word : gig anchor( col :  7 row : 6 ) score : 3 new tiles : gi    Heuristic : -2
word : jig anchor( col :  7 row : 6 ) score : 3 new tiles : ji    Heuristic : -2
