******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : flu anchor( col :  7 row : 7 ) score : 12 new tiles : flu    Heuristic : 2
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : flu anchor( col :  7 row : 7 ) score : 12 new tiles : flu    Heuristic : 2
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : lux anchor( col :  7 row : 7 ) score : 20 new tiles : lux    Heuristic : 11.5
word : xu anchor( col :  7 row : 7 ) score : 18 new tiles : xu    Heuristic : 7.5
word : tux anchor( col :  7 row : 7 ) score : 20 new tiles : tux    Heuristic : 10.5
word : hut anchor( col :  7 row : 7 ) score : 12 new tiles : hut    Heuristic : -1.5
word : ut anchor( col :  7 row : 7 ) score : 4 new tiles : ut    Heuristic : -10
word : uh anchor( col :  7 row : 7 ) score : 10 new tiles : uh    Heuristic : -4.5
word : flu anchor( col :  7 row : 7 ) score : 12 new tiles : flu    Heuristic : 2
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : lux anchor( col :  7 row : 7 ) score : 20 new tiles : lux    Heuristic : 11.5
word : lux anchor( col :  7 row : 7 ) score : 20 new tiles : lux    Heuristic : 11.5
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : tux anchor( col :  7 row : 7 ) score : 20 new tiles : tux    Heuristic : 10.5
word : xu anchor( col :  7 row : 7 ) score : 18 new tiles : xu    Heuristic : 7.5
word : ut anchor( col :  7 row : 7 ) score : 4 new tiles : ut    Heuristic : -10
word : hut anchor( col :  7 row : 7 ) score : 12 new tiles : hut    Heuristic : -1.5
word : tux anchor( col :  7 row : 7 ) score : 20 new tiles : tux    Heuristic : 10.5
word : uh anchor( col :  7 row : 7 ) score : 10 new tiles : uh    Heuristic : -4.5
word : hut anchor( col :  7 row : 7 ) score : 12 new tiles : hut    Heuristic : -1.5
word : flu anchor( col :  7 row : 7 ) score : 12 new tiles : flu    Heuristic : 2
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : lux anchor( col :  7 row : 7 ) score : 20 new tiles : lux    Heuristic : 11.5
word : xu anchor( col :  7 row : 7 ) score : 18 new tiles : xu    Heuristic : 7.5
word : tux anchor( col :  7 row : 7 ) score : 20 new tiles : tux    Heuristic : 10.5
word : hut anchor( col :  7 row : 7 ) score : 12 new tiles : hut    Heuristic : -1.5
word : flu anchor( col :  7 row : 7 ) score : 12 new tiles : flu    Heuristic : 2
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : lux anchor( col :  7 row : 7 ) score : 20 new tiles : lux    Heuristic : 11.5
word : flux anchor( col :  7 row : 7 ) score : 28 new tiles : flux    Heuristic : 22.5
word : tux anchor( col :  7 row : 7 ) score : 20 new tiles : tux    Heuristic : 10.5
word : ut anchor( col :  7 row : 7 ) score : 4 new tiles : ut    Heuristic : -10
