******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : dwaargs

word : gawd anchor( col :  7 row : 7 ) score : 18 new tiles : gawd    Heuristic : 29
word : gawds anchor( col :  7 row : 7 ) score : 20 new tiles : gawds    Heuristic : 23.5
word : ad anchor( col :  7 row : 7 ) score : 6 new tiles : ad    Heuristic : 9
word : wad anchor( col :  7 row : 7 ) score : 14 new tiles : wad    Heuristic : 22
word : swad anchor( col :  7 row : 7 ) score : 16 new tiles : swad    Heuristic : 17.5
word : wads anchor( col :  7 row : 7 ) score : 16 new tiles : wads    Heuristic : 17.5
word : rad anchor( col :  7 row : 7 ) score : 8 new tiles : rad    Heuristic : 10.5
word : grad anchor( col :  7 row : 7 ) score : 12 new tiles : grad    Heuristic : 17.5
word : grads anchor( col :  7 row : 7 ) score : 14 new tiles : grads    Heuristic : 12
word : rads anchor( col :  7 row : 7 ) score : 10 new tiles : rads    Heuristic : 6
word : gad anchor( col :  7 row : 7 ) score : 10 new tiles : gad    Heuristic : 16
word : gads anchor( col :  7 row : 7 ) score : 12 new tiles : gads    Heuristic : 11.5
word : sad anchor( col :  7 row : 7 ) score : 8 new tiles : sad    Heuristic : 4.5
word : adaw anchor( col :  7 row : 7 ) score : 16 new tiles : adaw    Heuristic : 21
word : adaws anchor( col :  7 row : 7 ) score : 18 new tiles : adaws    Heuristic : 16.5
word : ads anchor( col :  7 row : 7 ) score : 8 new tiles : ads    Heuristic : 4.5
word : ard anchor( col :  7 row : 7 ) score : 8 new tiles : ard    Heuristic : 10.5
word : ward anchor( col :  7 row : 7 ) score : 16 new tiles : ward    Heuristic : 23.5
word : award anchor( col :  7 row : 7 ) score : 20 new tiles : award    Heuristic : 24.5
word : awards anchor( col :  7 row : 7 ) score : 22 new tiles : awards    Heuristic : 20
word : sward anchor( col :  7 row : 7 ) score : 20 new tiles : sward    Heuristic : 20
word : wards anchor( col :  7 row : 7 ) score : 18 new tiles : wards    Heuristic : 18
word : garda anchor( col :  7 row : 7 ) score : 14 new tiles : garda    Heuristic : 16.5
word : sard anchor( col :  7 row : 7 ) score : 10 new tiles : sard    Heuristic : 6
word : ards anchor( col :  7 row : 7 ) score : 10 new tiles : ards    Heuristic : 6
word : da anchor( col :  7 row : 7 ) score : 6 new tiles : da    Heuristic : 9
word : daw anchor( col :  7 row : 7 ) score : 14 new tiles : daw    Heuristic : 22
word : daws anchor( col :  7 row : 7 ) score : 16 new tiles : daws    Heuristic : 17.5
word : darg anchor( col :  7 row : 7 ) score : 12 new tiles : darg    Heuristic : 17.5
word : darga anchor( col :  7 row : 7 ) score : 16 new tiles : darga    Heuristic : 18.5
word : dargas anchor( col :  7 row : 7 ) score : 18 new tiles : dargas    Heuristic : 14
word : dargs anchor( col :  7 row : 7 ) score : 16 new tiles : dargs    Heuristic : 14
word : dag anchor( col :  7 row : 7 ) score : 10 new tiles : dag    Heuristic : 16
word : dags anchor( col :  7 row : 7 ) score : 12 new tiles : dags    Heuristic : 11.5
