******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : hifycrq

word : ch anchor( col :  7 row : 7 ) score : 14 new tiles : ch    Heuristic : -1.5
word : ich anchor( col :  7 row : 7 ) score : 16 new tiles : ich    Heuristic : -1
word : rich anchor( col :  7 row : 7 ) score : 18 new tiles : rich    Heuristic : 0.5
word : chi anchor( col :  7 row : 7 ) score : 16 new tiles : chi    Heuristic : -1
word : rhy anchor( col :  7 row : 7 ) score : 18 new tiles : rhy    Heuristic : 3.5
word : fiqh anchor( col :  7 row : 7 ) score : 38 new tiles : fiqh    Heuristic : 35
word : hi anchor( col :  7 row : 7 ) score : 10 new tiles : hi    Heuristic : -8.5
word : hic anchor( col :  7 row : 7 ) score : 16 new tiles : hic    Heuristic : -1
word : hi anchor( col :  7 row : 7 ) score : 10 new tiles : hi    Heuristic : -8.5
word : chi anchor( col :  7 row : 7 ) score : 16 new tiles : chi    Heuristic : -1
word : hic anchor( col :  7 row : 7 ) score : 16 new tiles : hic    Heuristic : -1
word : fir anchor( col :  7 row : 7 ) score : 12 new tiles : fir    Heuristic : -4.5
word : fiqh anchor( col :  7 row : 7 ) score : 38 new tiles : fiqh    Heuristic : 35
word : rif anchor( col :  7 row : 7 ) score : 12 new tiles : rif    Heuristic : -4.5
word : rich anchor( col :  7 row : 7 ) score : 18 new tiles : rich    Heuristic : 0.5
word : ricy anchor( col :  7 row : 7 ) score : 18 new tiles : ricy    Heuristic : 3
word : qi anchor( col :  7 row : 7 ) score : 22 new tiles : qi    Heuristic : 15.5
word : if anchor( col :  7 row : 7 ) score : 10 new tiles : if    Heuristic : -6
word : ich anchor( col :  7 row : 7 ) score : 16 new tiles : ich    Heuristic : -1
word : icy anchor( col :  7 row : 7 ) score : 16 new tiles : icy    Heuristic : 1.5
word : if anchor( col :  7 row : 7 ) score : 10 new tiles : if    Heuristic : -6
word : rif anchor( col :  7 row : 7 ) score : 12 new tiles : rif    Heuristic : -4.5
word : fir anchor( col :  7 row : 7 ) score : 12 new tiles : fir    Heuristic : -4.5
word : fiqh anchor( col :  7 row : 7 ) score : 38 new tiles : fiqh    Heuristic : 35
word : fy anchor( col :  7 row : 7 ) score : 16 new tiles : fy    Heuristic : 4.5
word : fry anchor( col :  7 row : 7 ) score : 18 new tiles : fry    Heuristic : 6
word : rhy anchor( col :  7 row : 7 ) score : 18 new tiles : rhy    Heuristic : 3.5
word : fy anchor( col :  7 row : 7 ) score : 16 new tiles : fy    Heuristic : 4.5
word : icy anchor( col :  7 row : 7 ) score : 16 new tiles : icy    Heuristic : 1.5
word : ricy anchor( col :  7 row : 7 ) score : 18 new tiles : ricy    Heuristic : 3
word : fry anchor( col :  7 row : 7 ) score : 18 new tiles : fry    Heuristic : 6
word : cry anchor( col :  7 row : 7 ) score : 16 new tiles : cry    Heuristic : 2.5
word : hic anchor( col :  7 row : 7 ) score : 16 new tiles : hic    Heuristic : -1
word : rich anchor( col :  7 row : 7 ) score : 18 new tiles : rich    Heuristic : 0.5
