******HUMAN TURN******

******HUMAN RESULT******
RACK : U*OTPRN

HUMAN MOVE : torn , new tiles : otrn , score : 8 , direction : 1 , col : 11 , row : 7


******COMPUTER TURN******
RACK : u*jxqse

word : sau anchor( col :  7 row : 6 ) score : 4 new tiles : sau    Heuristic : -10
word : eau anchor( col :  7 row : 6 ) score : 4 new tiles : eau    Heuristic : -9.5
word : eaus anchor( col :  7 row : 6 ) score : 9 new tiles : eaus    Heuristic : -11
word : bus anchor( col :  7 row : 6 ) score : 8 new tiles : bus    Heuristic : -6
word : ecu anchor( col :  7 row : 6 ) score : 4 new tiles : ecu    Heuristic : -9.5
word : ecus anchor( col :  7 row : 6 ) score : 9 new tiles : ecus    Heuristic : -11
word : jeu anchor( col :  7 row : 6 ) score : 13 new tiles : jeu    Heuristic : 9.5
word : gu anchor( col :  7 row : 6 ) score : 3 new tiles : gu    Heuristic : -4.5
word : mu anchor( col :  7 row : 6 ) score : 3 new tiles : mu    Heuristic : -4.5
word : nu anchor( col :  7 row : 6 ) score : 3 new tiles : nu    Heuristic : -4.5
word : ou anchor( col :  7 row : 6 ) score : 3 new tiles : ou    Heuristic : -4.5
word : xu anchor( col :  7 row : 6 ) score : 19 new tiles : xu    Heuristic : 11.5
word : yu anchor( col :  7 row : 6 ) score : 3 new tiles : yu    Heuristic : -4.5
word : xu anchor( col :  7 row : 6 ) score : 19 new tiles : xu    Heuristic : 40.5
word : ug anchor( col :  7 row : 6 ) score : 4 new tiles : ug    Heuristic : -3.5
word : uh anchor( col :  7 row : 6 ) score : 4 new tiles : uh    Heuristic : -3.5
word : um anchor( col :  7 row : 6 ) score : 4 new tiles : um    Heuristic : -3.5
word : un anchor( col :  7 row : 6 ) score : 4 new tiles : un    Heuristic : -3.5
word : up anchor( col :  7 row : 6 ) score : 4 new tiles : up    Heuristic : -3.5
word : us anchor( col :  7 row : 6 ) score : 8 new tiles : us    Heuristic : 0.5
word : ut anchor( col :  7 row : 6 ) score : 4 new tiles : ut    Heuristic : -3.5
word : us anchor( col :  7 row : 6 ) score : 8 new tiles : us    Heuristic : 18.5
word : ut anchor( col :  7 row : 6 ) score : 2 new tiles : u    Heuristic : 19
word : at anchor( col :  7 row : 6 ) score : 1 new tiles : a    Heuristic : -7.5
word : et anchor( col :  7 row : 6 ) score : 2 new tiles : e    Heuristic : -6.5
word : it anchor( col :  7 row : 6 ) score : 1 new tiles : i    Heuristic : -7.5
word : st anchor( col :  7 row : 6 ) score : 2 new tiles : s    Heuristic : -6.5
word : ut anchor( col :  7 row : 6 ) score : 2 new tiles : u    Heuristic : -6.5
word : st anchor( col :  7 row : 6 ) score : 2 new tiles : s    Heuristic : 11.5
word : et anchor( col :  7 row : 6 ) score : 2 new tiles : e    Heuristic : 12
word : bo anchor( col :  8 row : 6 ) score : 1 new tiles : b    Heuristic : -7.5
word : do anchor( col :  8 row : 6 ) score : 1 new tiles : d    Heuristic : -7.5
word : go anchor( col :  8 row : 6 ) score : 1 new tiles : g    Heuristic : -7.5
word : ho anchor( col :  8 row : 6 ) score : 1 new tiles : h    Heuristic : -7.5
word : io anchor( col :  8 row : 6 ) score : 1 new tiles : i    Heuristic : -7.5
word : jo anchor( col :  8 row : 6 ) score : 17 new tiles : j    Heuristic : 8.5
word : ko anchor( col :  8 row : 6 ) score : 1 new tiles : k    Heuristic : -7.5
word : lo anchor( col :  8 row : 6 ) score : 1 new tiles : l    Heuristic : -7.5
word : mo anchor( col :  8 row : 6 ) score : 1 new tiles : m    Heuristic : -7.5
word : no anchor( col :  8 row : 6 ) score : 1 new tiles : n    Heuristic : -7.5
word : oo anchor( col :  8 row : 6 ) score : 1 new tiles : o    Heuristic : -7.5
word : po anchor( col :  8 row : 6 ) score : 1 new tiles : p    Heuristic : -7.5
word : so anchor( col :  8 row : 6 ) score : 3 new tiles : s    Heuristic : -5.5
word : to anchor( col :  8 row : 6 ) score : 1 new tiles : t    Heuristic : -7.5
word : wo anchor( col :  8 row : 6 ) score : 1 new tiles : w    Heuristic : -7.5
word : yo anchor( col :  8 row : 6 ) score : 1 new tiles : y    Heuristic : -7.5
word : zo anchor( col :  8 row : 6 ) score : 1 new tiles : z    Heuristic : -7.5
word : jo anchor( col :  8 row : 6 ) score : 17 new tiles : j    Heuristic : 37
word : so anchor( col :  8 row : 6 ) score : 3 new tiles : s    Heuristic : 12.5
