******HUMAN TURN******

******HUMAN RESULT******
RACK : TAWYUHZ

HUMAN MOVE : way , new tiles : awy , score : 18 , direction : 1 , col : 10 , row : 7


******COMPUTER TURN******
RACK : ffkotbp

word : fob anchor( col :  7 row : 6 ) score : 27 new tiles : fob    Heuristic : 18
word : fop anchor( col :  7 row : 6 ) score : 27 new tiles : fop    Heuristic : 16
word : ko anchor( col :  7 row : 6 ) score : 16 new tiles : ko    Heuristic : 3
word : to anchor( col :  7 row : 6 ) score : 8 new tiles : to    Heuristic : -7.5
word : bo anchor( col :  7 row : 6 ) score : 12 new tiles : bo    Heuristic : 0
word : po anchor( col :  7 row : 6 ) score : 12 new tiles : po    Heuristic : -2
word : of anchor( col :  7 row : 6 ) score : 23 new tiles : of    Heuristic : 9.5
word : ob anchor( col :  7 row : 6 ) score : 19 new tiles : ob    Heuristic : 7
word : op anchor( col :  7 row : 6 ) score : 19 new tiles : op    Heuristic : 5
word : ow anchor( col :  7 row : 6 ) score : 5 new tiles : o    Heuristic : -11.5
word : fa anchor( col :  8 row : 6 ) score : 9 new tiles : f    Heuristic : -4
word : ka anchor( col :  8 row : 6 ) score : 11 new tiles : k    Heuristic : -1.5
word : ta anchor( col :  8 row : 6 ) score : 3 new tiles : t    Heuristic : -12
word : ba anchor( col :  8 row : 6 ) score : 7 new tiles : b    Heuristic : -4.5
word : pa anchor( col :  8 row : 6 ) score : 7 new tiles : p    Heuristic : -6.5
word : fy anchor( col :  9 row : 6 ) score : 8 new tiles : f    Heuristic : -5
word : ky anchor( col :  9 row : 6 ) score : 9 new tiles : k    Heuristic : -3.5
word : oy anchor( col :  9 row : 6 ) score : 5 new tiles : o    Heuristic : -11.5
word : by anchor( col :  9 row : 6 ) score : 7 new tiles : b    Heuristic : -4.5
word : tway anchor( col :  6 row : 7 ) score : 10 new tiles : t    Heuristic : -5
word : wo anchor( col :  7 row : 8 ) score : 5 new tiles : o    Heuristic : -11.5
word : at anchor( col :  8 row : 8 ) score : 3 new tiles : t    Heuristic : -12
word : ab anchor( col :  8 row : 8 ) score : 7 new tiles : b    Heuristic : -4.5
word : yo anchor( col :  9 row : 8 ) score : 5 new tiles : o    Heuristic : -11.5
word : aw anchor( col :  7 row : 6 ) score : 5 new tiles : a    Heuristic : -7
word : haw anchor( col :  7 row : 6 ) score : 9 new tiles : ha    Heuristic : -2.5
word : thaw anchor( col :  7 row : 6 ) score : 10 new tiles : tha    Heuristic : -1.5
word : taw anchor( col :  7 row : 6 ) score : 6 new tiles : ta    Heuristic : -5
word : waw anchor( col :  7 row : 6 ) score : 9 new tiles : wa    Heuristic : 2
word : twa anchor( col :  7 row : 6 ) score : 6 new tiles : ta    Heuristic : -5
word : ah anchor( col :  8 row : 6 ) score : 23 new tiles : ah    Heuristic : 11.5
word : aa anchor( col :  8 row : 6 ) score : 3 new tiles : a    Heuristic : -9
word : ha anchor( col :  8 row : 6 ) score : 9 new tiles : h    Heuristic : -0.5
word : ba anchor( col :  8 row : 6 ) score : 7 new tiles : b    Heuristic : 1.5
word : ta anchor( col :  8 row : 6 ) score : 3 new tiles : t    Heuristic : -6
word : away anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : -2
word : tway anchor( col :  6 row : 7 ) score : 10 new tiles : t    Heuristic : 1
word : ho anchor( col :  8 row : 8 ) score : 18 new tiles : h    Heuristic : 8.5
