******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : ova anchor( col :  7 row : 6 ) score : 20 new tiles : ova    Heuristic : 17.5
word : var anchor( col :  7 row : 6 ) score : 21 new tiles : var    Heuristic : 18.5
word : ha anchor( col :  7 row : 6 ) score : 19 new tiles : ha    Heuristic : 11
word : da anchor( col :  7 row : 6 ) score : 15 new tiles : da    Heuristic : 7.5
word : pa anchor( col :  7 row : 6 ) score : 17 new tiles : pa    Heuristic : 11
word : ah anchor( col :  7 row : 6 ) score : 19 new tiles : ah    Heuristic : 11
word : ad anchor( col :  7 row : 6 ) score : 15 new tiles : ad    Heuristic : 7.5
word : ar anchor( col :  7 row : 6 ) score : 13 new tiles : ar    Heuristic : 4
word : aheap anchor( col :  7 row : 6 ) score : 10 new tiles : a    Heuristic : 1.5
word : ah anchor( col :  6 row : 7 ) score : 5 new tiles : a    Heuristic : -3.5
word : oh anchor( col :  6 row : 7 ) score : 5 new tiles : o    Heuristic : -1
word : ha anchor( col :  8 row : 7 ) score : 5 new tiles : a    Heuristic : -3.5
word : ho anchor( col :  8 row : 7 ) score : 5 new tiles : o    Heuristic : -1
word : ae anchor( col :  6 row : 8 ) score : 3 new tiles : a    Heuristic : -5.5
word : he anchor( col :  6 row : 8 ) score : 9 new tiles : h    Heuristic : 4
word : de anchor( col :  6 row : 8 ) score : 5 new tiles : d    Heuristic : 0.5
word : oe anchor( col :  6 row : 8 ) score : 3 new tiles : o    Heuristic : -3
word : pe anchor( col :  6 row : 8 ) score : 7 new tiles : p    Heuristic : 4
word : re anchor( col :  6 row : 8 ) score : 3 new tiles : r    Heuristic : -3
word : ea anchor( col :  8 row : 8 ) score : 3 new tiles : a    Heuristic : -5.5
word : eh anchor( col :  8 row : 8 ) score : 9 new tiles : h    Heuristic : 4
word : ed anchor( col :  8 row : 8 ) score : 5 new tiles : d    Heuristic : 0.5
word : er anchor( col :  8 row : 8 ) score : 3 new tiles : r    Heuristic : -3
word : aa anchor( col :  6 row : 9 ) score : 2 new tiles : a    Heuristic : -6.5
word : ha anchor( col :  6 row : 9 ) score : 5 new tiles : h    Heuristic : 0
word : da anchor( col :  6 row : 9 ) score : 3 new tiles : d    Heuristic : -1.5
word : pa anchor( col :  6 row : 9 ) score : 4 new tiles : p    Heuristic : 1
word : aa anchor( col :  8 row : 9 ) score : 2 new tiles : a    Heuristic : -6.5
word : ah anchor( col :  8 row : 9 ) score : 5 new tiles : h    Heuristic : 0
